Περιγραφή,Κωδικός,Έτος,Μήνας,Sales,Forecasts
ΕΥΡΗΚΑ CL ΑΝΘΗ ΠΟΡΤ 60G SET 3+1 ΔΩΡΟ,000061,2019,Σεπτέμβριος,645,450
ΕΥΡΗΚΑ CL ΑΝΘΗ ΠΟΡΤ 60G SET 3+1 ΔΩΡΟ,000061,2019,Οκτώβριος,435,450
ΕΥΡΗΚΑ CL ΑΝΘΗ ΠΟΡΤ 60G SET 3+1 ΔΩΡΟ,000061,2019,Νοέμβριος,299,450
ΕΥΡΗΚΑ CL ΑΝΘΗ ΠΟΡΤ 60G SET 3+1 ΔΩΡΟ,000061,2019,Δεκέμβριος,232,450
"ΕΥΡΗΚΑ ΥΠΕΡ/ΚΟ ΚΟΥΤΙ 1KG ΠΡΟΣ -2,0€",000403,2019,Ιανουάριος,251,240
"ΕΥΡΗΚΑ ΥΠΕΡ/ΚΟ ΚΟΥΤΙ 1KG ΠΡΟΣ -2,0€",000403,2019,Φεβρουάριος,273,290
"ΕΥΡΗΚΑ ΥΠΕΡ/ΚΟ ΚΟΥΤΙ 1KG ΠΡΟΣ -2,0€",000403,2019,Μάρτιος,437,480
"ΕΥΡΗΚΑ ΥΠΕΡ/ΚΟ ΚΟΥΤΙ 1KG ΠΡΟΣ -2,0€",000403,2019,Απρίλιος,312,280
"ΕΥΡΗΚΑ ΥΠΕΡ/ΚΟ ΚΟΥΤΙ 1KG ΠΡΟΣ -2,0€",000403,2019,Μάιος,570,410
"ΕΥΡΗΚΑ ΥΠΕΡ/ΚΟ ΚΟΥΤΙ 1KG ΠΡΟΣ -2,0€",000403,2019,Ιούνιος,438,340
"ΕΥΡΗΚΑ ΥΠΕΡ/ΚΟ ΚΟΥΤΙ 1KG ΠΡΟΣ -2,0€",000403,2019,Ιούλιος,521,400
"ΕΥΡΗΚΑ ΥΠΕΡ/ΚΟ ΚΟΥΤΙ 1KG ΠΡΟΣ -2,0€",000403,2019,Αύγουστος,392,370
"ΕΥΡΗΚΑ ΥΠΕΡ/ΚΟ ΚΟΥΤΙ 1KG ΠΡΟΣ -2,0€",000403,2019,Σεπτέμβριος,819,600
"ΕΥΡΗΚΑ ΥΠΕΡ/ΚΟ ΚΟΥΤΙ 1KG ΠΡΟΣ -2,0€",000403,2019,Οκτώβριος,594,500
"ΕΥΡΗΚΑ ΥΠΕΡ/ΚΟ ΚΟΥΤΙ 1KG ΠΡΟΣ -2,0€",000403,2019,Νοέμβριος,458,290
"ΕΥΡΗΚΑ ΥΠΕΡ/ΚΟ ΚΟΥΤΙ 1KG ΠΡΟΣ -2,0€",000403,2019,Δεκέμβριος,433,430
SNOW WHT POWDER 120GR 24PCS,000842ROM,2019,Ιανουάριος,784,800
SNOW WHT POWDER 120GR 24PCS,000842ROM,2019,Φεβρουάριος,1283,1000
SNOW WHT POWDER 120GR 24PCS,000842ROM,2019,Μάρτιος,1008,1000
SNOW WHT POWDER 120GR 24PCS,000842ROM,2019,Απρίλιος,784,1000
SNOW WHT POWDER 120GR 24PCS,000842ROM,2019,Μάιος,1008,1000
SNOW WHT POWDER 120GR 24PCS,000842ROM,2019,Ιούνιος,0,1000
SNOW WHT POWDER 120GR 24PCS,000842ROM,2019,Ιούλιος,694,1000
SNOW WHT POWDER 120GR 24PCS,000842ROM,2019,Αύγουστος,0,0
SNOW WHT POWDER 120GR 24PCS,000842ROM,2019,Σεπτέμβριος,1636,1000
SNOW WHT POWDER 120GR 24PCS,000842ROM,2019,Οκτώβριος,1245,1000
SNOW WHT POWDER 120GR 24PCS,000842ROM,2019,Νοέμβριος,433,500
SNOW WHT POWDER 120GR 24PCS,000842ROM,2019,Δεκέμβριος,0,500
ΕΥΡΗΚΑ SENSO 2 LT ΠΡΟΣΦΟΡΑΣ,001032,2019,Ιανουάριος,849,900
ΕΥΡΗΚΑ SENSO 2 LT ΠΡΟΣΦΟΡΑΣ,001032,2019,Φεβρουάριος,738,900
ΕΥΡΗΚΑ SENSO 2 LT ΠΡΟΣΦΟΡΑΣ,001032,2019,Μάρτιος,653,1200
ΕΥΡΗΚΑ SENSO 2 LT ΠΡΟΣΦΟΡΑΣ,001032,2019,Απρίλιος,931,1000
ΕΥΡΗΚΑ SENSO 2 LT ΠΡΟΣΦΟΡΑΣ,001032,2019,Μάιος,990,1100
ΕΥΡΗΚΑ SENSO 2 LT ΠΡΟΣΦΟΡΑΣ,001032,2019,Ιούνιος,842,1000
ΕΥΡΗΚΑ SENSO 2 LT ΠΡΟΣΦΟΡΑΣ,001032,2019,Ιούλιος,1051,1000
ΕΥΡΗΚΑ SENSO 2 LT ΠΡΟΣΦΟΡΑΣ,001032,2019,Αύγουστος,1019,1000
ΕΥΡΗΚΑ SENSO 2 LT ΠΡΟΣΦΟΡΑΣ,001032,2019,Σεπτέμβριος,828,1200
ΕΥΡΗΚΑ SENSO 2 LT ΠΡΟΣΦΟΡΑΣ,001032,2019,Οκτώβριος,744,1200
ΕΥΡΗΚΑ SENSO 2 LT ΠΡΟΣΦΟΡΑΣ,001032,2019,Νοέμβριος,792,900
ΕΥΡΗΚΑ SENSO 2 LT ΠΡΟΣΦΟΡΑΣ,001032,2019,Δεκέμβριος,869,800
ΕΥΡΗΚΑ BRIGHT PRE WASH SPR 450ML,001260,2019,Ιανουάριος,71,72
ΕΥΡΗΚΑ BRIGHT PRE WASH SPR 450ML,001260,2019,Φεβρουάριος,0,172
ΕΥΡΗΚΑ BRIGHT PRE WASH SPR 450ML,001260,2019,Μάρτιος,72,422
ΕΥΡΗΚΑ BRIGHT PRE WASH SPR 450ML,001260,2019,Απρίλιος,80,250
ΕΥΡΗΚΑ BRIGHT PRE WASH SPR 450ML,001260,2019,Μάιος,227,250
ΕΥΡΗΚΑ BRIGHT PRE WASH SPR 450ML,001260,2019,Ιούνιος,281,300
ΕΥΡΗΚΑ BRIGHT PRE WASH SPR 450ML,001260,2019,Ιούλιος,366,322
ΕΥΡΗΚΑ BRIGHT PRE WASH SPR 450ML,001260,2019,Αύγουστος,242,382
ΕΥΡΗΚΑ BRIGHT PRE WASH SPR 450ML,001260,2019,Σεπτέμβριος,307,544
ΕΥΡΗΚΑ BRIGHT PRE WASH SPR 450ML,001260,2019,Οκτώβριος,432,494
ΕΥΡΗΚΑ BRIGHT PRE WASH SPR 450ML,001260,2019,Νοέμβριος,266,372
ΕΥΡΗΚΑ BRIGHT PRE WASH SPR 450ML,001260,2019,Δεκέμβριος,187,362
"ΕΥΡ BLACK CARE 750ML ΠΡΟΣΦ -1,0€",002214,2019,Ιανουάριος,315,430
"ΕΥΡ BLACK CARE 750ML ΠΡΟΣΦ -1,0€",002214,2019,Φεβρουάριος,378,430
"ΕΥΡ BLACK CARE 750ML ΠΡΟΣΦ -1,0€",002214,2019,Μάρτιος,206,460
"ΕΥΡ BLACK CARE 750ML ΠΡΟΣΦ -1,0€",002214,2019,Απρίλιος,257,460
"ΕΥΡ BLACK CARE 750ML ΠΡΟΣΦ -1,0€",002214,2019,Μάιος,426,450
"ΕΥΡ BLACK CARE 750ML ΠΡΟΣΦ -1,0€",002214,2019,Ιούνιος,338,400
"ΕΥΡ BLACK CARE 750ML ΠΡΟΣΦ -1,0€",002214,2019,Ιούλιος,262,350
"ΕΥΡ BLACK CARE 750ML ΠΡΟΣΦ -1,0€",002214,2019,Αύγουστος,257,300
"ΕΥΡ BLACK CARE 750ML ΠΡΟΣΦ -1,0€",002214,2019,Σεπτέμβριος,338,400
"ΕΥΡ BLACK CARE 750ML ΠΡΟΣΦ -1,0€",002214,2019,Οκτώβριος,277,400
"ΕΥΡ BLACK CARE 750ML ΠΡΟΣΦ -1,0€",002214,2019,Νοέμβριος,394,370
"ΕΥΡ BLACK CARE 750ML ΠΡΟΣΦ -1,0€",002214,2019,Δεκέμβριος,375,350
"ΕΥΡΗΚΑ EXPRESS 900ML -0,5€",004106,2019,Ιανουάριος,0,0
"ΕΥΡΗΚΑ EXPRESS 900ML -0,5€",004106,2019,Φεβρουάριος,0,0
"ΕΥΡΗΚΑ EXPRESS 900ML -0,5€",004106,2019,Μάρτιος,55,400
"ΕΥΡΗΚΑ EXPRESS 900ML -0,5€",004106,2019,Απρίλιος,723,600
"ΕΥΡΗΚΑ EXPRESS 900ML -0,5€",004106,2019,Μάιος,105,200
"ΕΥΡΗΚΑ EXPRESS 900ML -0,5€",004106,2019,Ιούνιος,47,150
"ΕΥΡΗΚΑ EXPRESS 900ML -0,5€",004106,2019,Ιούλιος,223,150
"ΕΥΡΗΚΑ EXPRESS 900ML -0,5€",004106,2019,Αύγουστος,595,800
"ΕΥΡΗΚΑ EXPRESS 900ML -0,5€",004106,2019,Σεπτέμβριος,850,600
"ΕΥΡΗΚΑ EXPRESS 900ML -0,5€",004106,2019,Οκτώβριος,278,600
"ΕΥΡΗΚΑ EXPRESS 900ML -0,5€",004106,2019,Νοέμβριος,300,400
"ΕΥΡΗΚΑ EXPRESS 900ML -0,5€",004106,2019,Δεκέμβριος,327,400
ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ 900ML/18M -1€,00426,2019,Ιανουάριος,0,0
ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ 900ML/18M -1€,00426,2019,Φεβρουάριος,0,0
ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ 900ML/18M -1€,00426,2019,Μάρτιος,8,700
ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ 900ML/18M -1€,00426,2019,Απρίλιος,705,700
ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ 900ML/18M -1€,00426,2019,Μάιος,441,600
ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ 900ML/18M -1€,00426,2019,Ιούνιος,499,900
ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ 900ML/18M -1€,00426,2019,Ιούλιος,673,700
ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ 900ML/18M -1€,00426,2019,Αύγουστος,629,750
ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ 900ML/18M -1€,00426,2019,Σεπτέμβριος,685,1000
ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ 900ML/18M -1€,00426,2019,Οκτώβριος,685,800
ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ 900ML/18M -1€,00426,2019,Νοέμβριος,348,750
ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ 900ML/18M -1€,00426,2019,Δεκέμβριος,548,750
"ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ 1,8L/36M -2€",00526,2019,Ιανουάριος,0,0
"ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ 1,8L/36M -2€",00526,2019,Φεβρουάριος,0,0
"ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ 1,8L/36M -2€",00526,2019,Μάρτιος,488,1900
"ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ 1,8L/36M -2€",00526,2019,Απρίλιος,1617,1900
"ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ 1,8L/36M -2€",00526,2019,Μάιος,1366,2000
"ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ 1,8L/36M -2€",00526,2019,Ιούνιος,956,2000
"ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ 1,8L/36M -2€",00526,2019,Ιούλιος,2356,1800
"ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ 1,8L/36M -2€",00526,2019,Αύγουστος,1400,1700
"ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ 1,8L/36M -2€",00526,2019,Σεπτέμβριος,2068,2400
"ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ 1,8L/36M -2€",00526,2019,Οκτώβριος,2721,1900
"ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ 1,8L/36M -2€",00526,2019,Νοέμβριος,1875,1800
"ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ 1,8L/36M -2€",00526,2019,Δεκέμβριος,1078,1800
"ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ ΛΕΒΑΝΤΑ 1,8L/36M -2€",00536,2019,Ιανουάριος,0,0
"ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ ΛΕΒΑΝΤΑ 1,8L/36M -2€",00536,2019,Φεβρουάριος,0,0
"ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ ΛΕΒΑΝΤΑ 1,8L/36M -2€",00536,2019,Μάρτιος,136,450
"ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ ΛΕΒΑΝΤΑ 1,8L/36M -2€",00536,2019,Απρίλιος,505,450
"ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ ΛΕΒΑΝΤΑ 1,8L/36M -2€",00536,2019,Μάιος,272,550
"ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ ΛΕΒΑΝΤΑ 1,8L/36M -2€",00536,2019,Ιούνιος,312,550
"ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ ΛΕΒΑΝΤΑ 1,8L/36M -2€",00536,2019,Ιούλιος,498,450
"ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ ΛΕΒΑΝΤΑ 1,8L/36M -2€",00536,2019,Αύγουστος,464,400
"ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ ΛΕΒΑΝΤΑ 1,8L/36M -2€",00536,2019,Σεπτέμβριος,461,750
"ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ ΛΕΒΑΝΤΑ 1,8L/36M -2€",00536,2019,Οκτώβριος,336,500
"ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ ΛΕΒΑΝΤΑ 1,8L/36M -2€",00536,2019,Νοέμβριος,331,450
"ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ ΛΕΒΑΝΤΑ 1,8L/36M -2€",00536,2019,Δεκέμβριος,497,450
"ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ 2,7L/54M -4€",00546,2019,Ιανουάριος,0,0
"ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ 2,7L/54M -4€",00546,2019,Φεβρουάριος,0,0
"ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ 2,7L/54M -4€",00546,2019,Μάρτιος,12,500
"ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ 2,7L/54M -4€",00546,2019,Απρίλιος,154,500
"ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ 2,7L/54M -4€",00546,2019,Μάιος,497,500
"ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ 2,7L/54M -4€",00546,2019,Ιούνιος,219,550
"ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ 2,7L/54M -4€",00546,2019,Ιούλιος,541,550
"ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ 2,7L/54M -4€",00546,2019,Αύγουστος,279,500
"ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ 2,7L/54M -4€",00546,2019,Σεπτέμβριος,275,900
"ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ 2,7L/54M -4€",00546,2019,Οκτώβριος,559,600
"ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ 2,7L/54M -4€",00546,2019,Νοέμβριος,258,500
"ΕΥΡΗΚΑ ΜΑΣΣΑΛΙΑΣ 2,7L/54M -4€",00546,2019,Δεκέμβριος,399,500
ΕΥΡΗΚΑ SENSO 1 LT ΠΡΟΣΦ.,0096,2019,Ιανουάριος,822,900
ΕΥΡΗΚΑ SENSO 1 LT ΠΡΟΣΦ.,0096,2019,Φεβρουάριος,721,900
ΕΥΡΗΚΑ SENSO 1 LT ΠΡΟΣΦ.,0096,2019,Μάρτιος,745,1200
ΕΥΡΗΚΑ SENSO 1 LT ΠΡΟΣΦ.,0096,2019,Απρίλιος,921,900
ΕΥΡΗΚΑ SENSO 1 LT ΠΡΟΣΦ.,0096,2019,Μάιος,1063,1100
ΕΥΡΗΚΑ SENSO 1 LT ΠΡΟΣΦ.,0096,2019,Ιούνιος,902,1050
ΕΥΡΗΚΑ SENSO 1 LT ΠΡΟΣΦ.,0096,2019,Ιούλιος,1184,1200
ΕΥΡΗΚΑ SENSO 1 LT ΠΡΟΣΦ.,0096,2019,Αύγουστος,901,1100
ΕΥΡΗΚΑ SENSO 1 LT ΠΡΟΣΦ.,0096,2019,Σεπτέμβριος,1104,1200
ΕΥΡΗΚΑ SENSO 1 LT ΠΡΟΣΦ.,0096,2019,Οκτώβριος,1176,950
ΕΥΡΗΚΑ SENSO 1 LT ΠΡΟΣΦ.,0096,2019,Νοέμβριος,657,900
ΕΥΡΗΚΑ SENSO 1 LT ΠΡΟΣΦ.,0096,2019,Δεκέμβριος,778,800
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΚΛΑΣΣΙΚΟ 2L-1€,010012CYP,2019,Ιανουάριος,1200,480
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΚΛΑΣΣΙΚΟ 2L-1€,010012CYP,2019,Φεβρουάριος,0,0
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΚΛΑΣΣΙΚΟ 2L-1€,010012CYP,2019,Μάρτιος,254,240
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΚΛΑΣΣΙΚΟ 2L-1€,010012CYP,2019,Απρίλιος,780,420
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΚΛΑΣΣΙΚΟ 2L-1€,010012CYP,2019,Μάιος,772,240
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΚΛΑΣΣΙΚΟ 2L-1€,010012CYP,2019,Ιούνιος,540,0
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΚΛΑΣΣΙΚΟ 2L-1€,010012CYP,2019,Ιούλιος,1224,600
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΚΛΑΣΣΙΚΟ 2L-1€,010012CYP,2019,Αύγουστος,0,540
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΚΛΑΣΣΙΚΟ 2L-1€,010012CYP,2019,Σεπτέμβριος,1140,660
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΚΛΑΣΣΙΚΟ 2L-1€,010012CYP,2019,Οκτώβριος,599,240
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΚΛΑΣΣΙΚΟ 2L-1€,010012CYP,2019,Νοέμβριος,716,300
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΚΛΑΣΣΙΚΟ 2L-1€,010012CYP,2019,Δεκέμβριος,0,480
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΜΑΣΤΙΧΑ 2L -1€,010022CYP,2019,Ιανουάριος,599,240
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΜΑΣΤΙΧΑ 2L -1€,010022CYP,2019,Φεβρουάριος,0,0
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΜΑΣΤΙΧΑ 2L -1€,010022CYP,2019,Μάρτιος,480,240
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΜΑΣΤΙΧΑ 2L -1€,010022CYP,2019,Απρίλιος,120,0
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΜΑΣΤΙΧΑ 2L -1€,010022CYP,2019,Μάιος,735,240
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΜΑΣΤΙΧΑ 2L -1€,010022CYP,2019,Ιούνιος,0,0
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΜΑΣΤΙΧΑ 2L -1€,010022CYP,2019,Ιούλιος,240,300
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΜΑΣΤΙΧΑ 2L -1€,010022CYP,2019,Αύγουστος,300,420
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΜΑΣΤΙΧΑ 2L -1€,010022CYP,2019,Σεπτέμβριος,667,420
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΜΑΣΤΙΧΑ 2L -1€,010022CYP,2019,Οκτώβριος,540,300
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΜΑΣΤΙΧΑ 2L -1€,010022CYP,2019,Νοέμβριος,35,240
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΜΑΣΤΙΧΑ 2L -1€,010022CYP,2019,Δεκέμβριος,600,660
ΜΑΣΣΑΛ SECR ΜΑΛ/ΚΟ FL GARDEN 2L -1€,010042CYP,2019,Ιανουάριος,426,180
ΜΑΣΣΑΛ SECR ΜΑΛ/ΚΟ FL GARDEN 2L -1€,010042CYP,2019,Φεβρουάριος,0,0
ΜΑΣΣΑΛ SECR ΜΑΛ/ΚΟ FL GARDEN 2L -1€,010042CYP,2019,Μάρτιος,622,360
ΜΑΣΣΑΛ SECR ΜΑΛ/ΚΟ FL GARDEN 2L -1€,010042CYP,2019,Απρίλιος,0,0
ΜΑΣΣΑΛ SECR ΜΑΛ/ΚΟ FL GARDEN 2L -1€,010042CYP,2019,Μάιος,360,360
ΜΑΣΣΑΛ SECR ΜΑΛ/ΚΟ FL GARDEN 2L -1€,010042CYP,2019,Ιούνιος,240,180
ΜΑΣΣΑΛ SECR ΜΑΛ/ΚΟ FL GARDEN 2L -1€,010042CYP,2019,Ιούλιος,888,600
ΜΑΣΣΑΛ SECR ΜΑΛ/ΚΟ FL GARDEN 2L -1€,010042CYP,2019,Αύγουστος,0,300
ΜΑΣΣΑΛ SECR ΜΑΛ/ΚΟ FL GARDEN 2L -1€,010042CYP,2019,Σεπτέμβριος,540,300
ΜΑΣΣΑΛ SECR ΜΑΛ/ΚΟ FL GARDEN 2L -1€,010042CYP,2019,Οκτώβριος,60,120
ΜΑΣΣΑΛ SECR ΜΑΛ/ΚΟ FL GARDEN 2L -1€,010042CYP,2019,Νοέμβριος,742,420
ΜΑΣΣΑΛ SECR ΜΑΛ/ΚΟ FL GARDEN 2L -1€,010042CYP,2019,Δεκέμβριος,420,240
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ BLACK 2L-1€,010051CYP,2019,Ιανουάριος,0,0
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ BLACK 2L-1€,010051CYP,2019,Φεβρουάριος,360,600
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ BLACK 2L-1€,010051CYP,2019,Μάρτιος,720,660
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ BLACK 2L-1€,010051CYP,2019,Απρίλιος,273,240
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ BLACK 2L-1€,010051CYP,2019,Μάιος,600,600
